OBJECTID,stop_UID,stop_agency,stop_id,route_id
262,MTS_10312,MTS,10312,4
263,MTS_10313,MTS,10313,856
264,MTS_10313,MTS,10313,936
265,MTS_10314,MTS,10314,852
266,MTS_10315,MTS,10315,115
267,MTS_10317,MTS,10317,852
268,MTS_10318,MTS,10318,962
269,MTS_10319,MTS,10319,4
270,MTS_10320,MTS,10320,1
271,MTS_10320,MTS,10320,852
272,MTS_10321,MTS,10321,4
273,MTS_10322,MTS,10322,115
274,MTS_10324,MTS,10324,852
275,MTS_10325,MTS,10325,115
276,MTS_10326,MTS,10326,852
277,MTS_10328,MTS,10328,852
278,MTS_10330,MTS,10330,856
279,MTS_10330,MTS,10330,936
280,MTS_10331,MTS,10331,852
281,MTS_10332,MTS,10332,856
282,MTS_10332,MTS,10332,936
283,MTS_10332,MTS,10332,962
284,MTS_10333,MTS,10333,852
285,MTS_10334,MTS,10334,115
286,MTS_10334,MTS,10334,854
287,MTS_10336,MTS,10336,852
288,MTS_10346,MTS,10346,30
289,MTS_10347,MTS,10347,30
290,MTS_10349,MTS,10349,140
291,MTS_10349,MTS,10349,30
292,MTS_10351,MTS,10351,30
293,MTS_10357,MTS,10357,8
294,MTS_10358,MTS,10358,27
295,MTS_10359,MTS,10359,8
296,MTS_10360,MTS,10360,30
297,MTS_10360,MTS,10360,8
298,MTS_10361,MTS,10361,8
299,MTS_10363,MTS,10363,27
300,MTS_10364,MTS,10364,923
301,MTS_10365,MTS,10365,35
302,MTS_10366,MTS,10366,923
303,MTS_10368,MTS,10368,30
304,MTS_10369,MTS,10369,923
305,MTS_10370,MTS,10370,30
306,MTS_10370,MTS,10370,8
307,MTS_10371,MTS,10371,923
308,MTS_10372,MTS,10372,8
309,MTS_10374,MTS,10374,202
310,MTS_10374,MTS,10374,30
311,MTS_10374,MTS,10374,974
312,MTS_10375,MTS,10375,30
313,MTS_10378,MTS,10378,41
314,MTS_10378,MTS,10378,921
315,MTS_10379,MTS,10379,35
316,MTS_10381,MTS,10381,923
317,MTS_10382,MTS,10382,923
318,MTS_10383,MTS,10383,27
319,MTS_10384,MTS,10384,30
320,MTS_10386,MTS,10386,27
321,MTS_10386,MTS,10386,8
322,MTS_10390,MTS,10390,27
323,MTS_10390,MTS,10390,8
324,MTS_10391,MTS,10391,202
325,MTS_10391,MTS,10391,41
326,MTS_10391,MTS,10391,921
327,MTS_10392,MTS,10392,35
328,MTS_10395,MTS,10395,30
329,MTS_10396,MTS,10396,140
330,MTS_10396,MTS,10396,27
331,MTS_10396,MTS,10396,8
332,MTS_10399,MTS,10399,201
333,MTS_10399,MTS,10399,30
334,MTS_10400,MTS,10400,202
335,MTS_10400,MTS,10400,237
336,MTS_10400,MTS,10400,41
337,MTS_10400,MTS,10400,921
338,MTS_10401,MTS,10401,105
339,MTS_10404,MTS,10404,105
340,MTS_10407,MTS,10407,105
341,MTS_10408,MTS,10408,105
342,MTS_10409,MTS,10409,31
343,MTS_10409,MTS,10409,60
344,MTS_10409,MTS,10409,921
345,MTS_10410,MTS,10410,35
346,MTS_10412,MTS,10412,105
347,MTS_10413,MTS,10413,105
348,MTS_10419,MTS,10419,105
349,MTS_10421,MTS,10421,27
350,MTS_10422,MTS,10422,237
351,MTS_10422,MTS,10422,921
352,MTS_10422,MTS,10422,973
353,MTS_10426,MTS,10426,43
354,MTS_10428,MTS,10428,43
355,MTS_10432,MTS,10432,43
356,MTS_10433,MTS,10433,88
357,MTS_10434,MTS,10434,44
358,MTS_10436,MTS,10436,43
359,MTS_10437,MTS,10437,27
360,MTS_10441,MTS,10441,27
361,MTS_10442,MTS,10442,44
362,MTS_10444,MTS,10444,31
363,MTS_10446,MTS,10446,27
364,MTS_10447,MTS,10447,43
365,MTS_10449,MTS,10449,923
366,MTS_10449,MTS,10449,992
367,MTS_10450,MTS,10450,31
368,MTS_10451,MTS,10451,27
369,MTS_10452,MTS,10452,10
370,MTS_10454,MTS,10454,280
371,MTS_10454,MTS,10454,290
372,MTS_10454,MTS,10454,923
373,MTS_10454,MTS,10454,992
374,MTS_10456,MTS,10456,10
375,MTS_10460,MTS,10460,27
376,MTS_10461,MTS,10461,120
377,MTS_10461,MTS,10461,41
378,MTS_10464,MTS,10464,31
379,MTS_10466,MTS,10466,43
380,MTS_10466,MTS,10466,60
381,MTS_10467,MTS,10467,44
382,MTS_10468,MTS,10468,3
383,MTS_10471,MTS,10471,928
384,MTS_10474,MTS,10474,3
385,MTS_10475,MTS,10475,928
386,MTS_10476,MTS,10476,44
387,MTS_10477,MTS,10477,43
388,MTS_10477,MTS,10477,60
389,MTS_10478,MTS,10478,1
390,MTS_10479,MTS,10479,6
391,MTS_10481,MTS,10481,120
392,MTS_10482,MTS,10482,120
393,MTS_10483,MTS,10483,928
394,MTS_10484,MTS,10484,110
395,MTS_10484,MTS,10484,921
396,MTS_10485,MTS,10485,6
397,MTS_10486,MTS,10486,43
398,MTS_10486,MTS,10486,44
399,MTS_10487,MTS,10487,225
400,MTS_10487,MTS,10487,235
401,MTS_10488,MTS,10488,3
402,MTS_10488,MTS,10488,5
403,MTS_10489,MTS,10489,2
404,MTS_10493,MTS,10493,120
405,MTS_10493,MTS,10493,25
406,MTS_10494,MTS,10494,1
407,MTS_10494,MTS,10494,11
408,MTS_10495,MTS,10495,43
409,MTS_10495,MTS,10495,44
410,MTS_10496,MTS,10496,25
411,MTS_10498,MTS,10498,110
412,MTS_10498,MTS,10498,921
413,MTS_10499,MTS,10499,4
414,MTS_10500,MTS,10500,6
415,MTS_10501,MTS,10501,12
416,MTS_10502,MTS,10502,1
417,MTS_10503,MTS,10503,3
418,MTS_10503,MTS,10503,5
419,MTS_10504,MTS,10504,2
420,MTS_10505,MTS,10505,6
421,MTS_10506,MTS,10506,25
422,MTS_10507,MTS,10507,11
423,MTS_10510,MTS,10510,12
424,MTS_10511,MTS,10511,110
425,MTS_10511,MTS,10511,237
426,MTS_10511,MTS,10511,921
427,MTS_10513,MTS,10513,60
428,MTS_10515,MTS,10515,4
429,MTS_10516,MTS,10516,3
430,MTS_10517,MTS,10517,1
431,MTS_10518,MTS,10518,11
432,MTS_10519,MTS,10519,12
433,MTS_10520,MTS,10520,25
434,MTS_10521,MTS,10521,27
435,MTS_10521,MTS,10521,43
436,MTS_10521,MTS,10521,44
437,MTS_10521,MTS,10521,928
438,MTS_10523,MTS,10523,10
439,MTS_10523,MTS,10523,7
440,MTS_10524,MTS,10524,5
441,MTS_10525,MTS,10525,928
442,MTS_10527,MTS,10527,7
443,MTS_10529,MTS,10529,12
444,MTS_10530,MTS,10530,5
445,MTS_10532,MTS,10532,2
446,MTS_10533,MTS,10533,1
447,MTS_10533,MTS,10533,6
448,MTS_10534,MTS,10534,7
449,MTS_10535,MTS,10535,3
450,MTS_10537,MTS,10537,5
451,MTS_10539,MTS,10539,928
452,MTS_10540,MTS,10540,11
453,MTS_10542,MTS,10542,110
454,MTS_10542,MTS,10542,921
455,MTS_10543,MTS,10543,1
456,MTS_10543,MTS,10543,215
457,MTS_10544,MTS,10544,12
458,MTS_10546,MTS,10546,25
459,MTS_10546,MTS,10546,928
460,MTS_10547,MTS,10547,7
461,MTS_10548,MTS,10548,1
462,MTS_10549,MTS,10549,11
463,MTS_10550,MTS,10550,10
464,MTS_10550,MTS,10550,7
465,MTS_10551,MTS,10551,929
466,MTS_10552,MTS,10552,12
467,MTS_10553,MTS,10553,921
468,MTS_10554,MTS,10554,11
469,MTS_10555,MTS,10555,12
470,MTS_10556,MTS,10556,18
471,MTS_10560,MTS,10560,7
472,MTS_10563,MTS,10563,4
473,MTS_10564,MTS,10564,11
474,MTS_10568,MTS,10568,3
475,MTS_10570,MTS,10570,3
476,MTS_10571,MTS,10571,5
477,MTS_10572,MTS,10572,7
478,MTS_10576,MTS,10576,5
479,MTS_10577,MTS,10577,11
480,MTS_10578,MTS,10578,5
481,MTS_10579,MTS,10579,20
482,MTS_10581,MTS,10581,11
483,MTS_10582,MTS,10582,3
484,MTS_10585,MTS,10585,964
485,MTS_10587,MTS,10587,5
486,MTS_10588,MTS,10588,14
487,MTS_10591,MTS,10591,20
488,MTS_10592,MTS,10592,965
489,MTS_10593,MTS,10593,929
490,MTS_10593,MTS,10593,955
491,MTS_10593,MTS,10593,968
492,MTS_10594,MTS,10594,11
493,MTS_10598,MTS,10598,4
494,MTS_10599,MTS,10599,7
495,MTS_10600,MTS,10600,929
496,MTS_10600,MTS,10600,955
497,MTS_10600,MTS,10600,968
498,MTS_10603,MTS,10603,3
499,MTS_10604,MTS,10604,964
500,MTS_10605,MTS,10605,25
501,MTS_10607,MTS,10607,1
502,MTS_10609,MTS,10609,1
503,MTS_10609,MTS,10609,13
504,MTS_10609,MTS,10609,215
505,MTS_10611,MTS,10611,10
506,MTS_10611,MTS,10611,7
507,MTS_10612,MTS,10612,1
508,MTS_10613,MTS,10613,12
509,MTS_10613,MTS,10613,955
510,MTS_10615,MTS,10615,18
511,MTS_10616,MTS,10616,7
512,MTS_10618,MTS,10618,4
513,MTS_10619,MTS,10619,5
514,MTS_10620,MTS,10620,1
515,MTS_10621,MTS,10621,7
516,MTS_10622,MTS,10622,12
517,MTS_10622,MTS,10622,955
518,MTS_10623,MTS,10623,1
519,MTS_10624,MTS,10624,4
520,MTS_10625,MTS,10625,13
521,MTS_10625,MTS,10625,5
522,MTS_10625,MTS,10625,955
523,MTS_10628,MTS,10628,14
524,MTS_10629,MTS,10629,12
525,MTS_10629,MTS,10629,3
526,MTS_10632,MTS,10632,14
527,MTS_10633,MTS,10633,7
528,MTS_10634,MTS,10634,11
529,MTS_10634,MTS,10634,955
530,MTS_10635,MTS,10635,12
531,MTS_10636,MTS,10636,4
532,MTS_10637,MTS,10637,916
533,MTS_10638,MTS,10638,917
534,MTS_10639,MTS,10639,1
535,MTS_10640,MTS,10640,917
536,MTS_10641,MTS,10641,4
537,MTS_10642,MTS,10642,916
538,MTS_10647,MTS,10647,12
539,MTS_10648,MTS,10648,917
540,MTS_10650,MTS,10650,4
541,MTS_10651,MTS,10651,917
542,MTS_10652,MTS,10652,916
543,MTS_10653,MTS,10653,4
544,MTS_10654,MTS,10654,11
545,MTS_10654,MTS,10654,955
546,MTS_10655,MTS,10655,1
547,MTS_10658,MTS,10658,4
548,MTS_10659,MTS,10659,1
549,MTS_10660,MTS,10660,14
550,MTS_10661,MTS,10661,7
551,MTS_10661,MTS,10661,852
552,MTS_10662,MTS,10662,945
553,MTS_10664,MTS,10664,4
554,MTS_10665,MTS,10665,1
555,MTS_10666,MTS,10666,14
556,MTS_10668,MTS,10668,929
557,MTS_10668,MTS,10668,933
558,MTS_10669,MTS,10669,4
559,MTS_10671,MTS,10671,115
560,MTS_10672,MTS,10672,12
561,MTS_10673,MTS,10673,1
562,MTS_10675,MTS,10675,916
563,MTS_10676,MTS,10676,852
564,MTS_10677,MTS,10677,115
565,MTS_10678,MTS,10678,12
566,MTS_10679,MTS,10679,1
567,MTS_10682,MTS,10682,1
568,MTS_10683,MTS,10683,852
569,MTS_10684,MTS,10684,929
570,MTS_10684,MTS,10684,933
571,MTS_10685,MTS,10685,856
572,MTS_10685,MTS,10685,916
573,MTS_10685,MTS,10685,936
574,MTS_10686,MTS,10686,4
575,MTS_10686,MTS,10686,961
576,MTS_10688,MTS,10688,1
577,MTS_10690,MTS,10690,12
578,MTS_10691,MTS,10691,1
579,MTS_10691,MTS,10691,14
580,MTS_10692,MTS,10692,856
581,MTS_10692,MTS,10692,916
582,MTS_10692,MTS,10692,936
583,MTS_10693,MTS,10693,115
584,MTS_10696,MTS,10696,852
585,MTS_10697,MTS,10697,1
586,MTS_10698,MTS,10698,4
587,MTS_10700,MTS,10700,852
588,MTS_10701,MTS,10701,856
589,MTS_10701,MTS,10701,936
590,MTS_10703,MTS,10703,14
591,MTS_10704,MTS,10704,4
592,MTS_10705,MTS,10705,856
593,MTS_10705,MTS,10705,936
594,MTS_10706,MTS,10706,115
595,MTS_10707,MTS,10707,4
596,MTS_10708,MTS,10708,856
597,MTS_10708,MTS,10708,936
598,MTS_10711,MTS,10711,14
599,MTS_10712,MTS,10712,4
600,MTS_10713,MTS,10713,12
601,MTS_10714,MTS,10714,4
602,MTS_10715,MTS,10715,4
603,MTS_10717,MTS,10717,852
604,MTS_10719,MTS,10719,4
605,MTS_10720,MTS,10720,12
606,MTS_10720,MTS,10720,4
607,MTS_10721,MTS,10721,115
608,MTS_10722,MTS,10722,962
609,MTS_10724,MTS,10724,856
610,MTS_10724,MTS,10724,936
611,MTS_10725,MTS,10725,4
612,MTS_10728,MTS,10728,936
613,MTS_10730,MTS,10730,936
614,MTS_10733,MTS,10733,852
615,MTS_10734,MTS,10734,115
616,MTS_10735,MTS,10735,852
617,MTS_10736,MTS,10736,115
618,MTS_10759,MTS,10759,30
619,MTS_10760,MTS,10760,140
620,MTS_10760,MTS,10760,30
621,MTS_10762,MTS,10762,8
622,MTS_10763,MTS,10763,8
623,MTS_10764,MTS,10764,27
624,MTS_10765,MTS,10765,923
625,MTS_10768,MTS,10768,27
626,MTS_10769,MTS,10769,923
627,MTS_10772,MTS,10772,201
628,MTS_10772,MTS,10772,30
629,MTS_10774,MTS,10774,27
630,MTS_10776,MTS,10776,923
631,MTS_10778,MTS,10778,923
632,MTS_10779,MTS,10779,923
633,MTS_10780,MTS,10780,923
634,MTS_10782,MTS,10782,35
635,MTS_10783,MTS,10783,27
636,MTS_10787,MTS,10787,35
637,MTS_10790,MTS,10790,140
